lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
22410,Glenelg,141.385716,-37.870477,5522,27.6
22490,Golden Plains,143.842495,-37.88205,4359,16.6
22620,Greater Bendigo,144.422654,-36.734429,25627,20.4
22670,Greater Dandenong,145.190001,-38.005567,26216,15.7
22750,Greater Geelong,144.417169,-38.068963,57077,19.7
22830,Greater Shepparton,145.386225,-36.396995,13866,19.8
22910,Hepburn,144.057565,-37.316918,5002,29.7
22980,Hindmarsh,141.752568,-36.051501,1596,29.2
23110,Hobsons Bay,144.829805,-37.854722,15683,16.4
23190,Horsham,142.090454,-36.825734,4503,22.1
23270,Hume,144.824527,-37.589144,29688,10.9
23350,Indigo,146.722943,-36.225481,4414,24.8
23430,Kingston (Vic.),145.105062,-37.988565,30939,18.6
23670,Knox,145.258689,-37.888974,30083,18.4
23810,Latrobe (Vic.),146.438121,-38.274574,17047,21.6
23940,Loddon,143.867149,-36.36389,2410,31.1
24130,Macedon Ranges,144.61663,-37.335663,10855,20.2
24210,Manningham,145.188561,-37.761574,28633,21.7
24250,Mansfield,146.210249,-37.199509,2983,27.7
24330,Maribyrnong,144.87775,-37.795286,10003,10.6
24410,Maroondah,145.26526,-37.804876,21246,17.8
24600,Melbourne,144.943813,-37.810647,11781,6.2
24650,Melton,144.625962,-37.692975,19266,8.8
24700,Merri-bek,144.948911,-37.729942,22922,12.3
24780,Mildura,141.68289,-34.869212,11666,20.2
24850,Mitchell,145.001619,-37.137502,8290,14.7
24900,Moira,145.550342,-36.061883,8818,28.6
24970,Monash,145.144018,-37.897106,34797,16.6
25060,Moonee Valley,144.895758,-37.749515,22154,17.1
25150,Moorabool,144.21564,-37.632756,6960,17.5
25340,Mornington Peninsula,145.03529,-38.341676,48518,28.3
25430,Mount Alexander,144.192947,-37.05078,6259,30.1
25490,Moyne,142.490051,-38.122435,4082,23.0
25620,Murrindindi,145.630114,-37.310982,4318,27.7
25710,Nillumbik,145.236806,-37.622893,11575,18.2
25810,Northern Grampians,142.919652,-36.844624,3277,27.8
25900,Port Phillip,144.965998,-37.851936,15273,13.6
25990,Pyrenees,143.375042,-37.316452,2241,28.2
26080,Queenscliffe,144.630069,-38.272815,1627,49.3
26170,South Gippsland,146.075971,-38.62135,8672,28.0
26260,Southern Grampians,142.033101,-37.536522,4455,27.0
26350,Stonnington,145.033656,-37.857927,18461,16.2
26430,Strathbogie,145.434931,-36.760317,3843,32.7
26490,Surf Coast,144.053146,-38.312294,8363,20.9
26610,Swan Hill,143.125514,-35.120196,4175,19.8
26670,Towong,147.59888,-36.354412,1888,30.3
26700,Wangaratta,146.428394,-36.588274,7511,24.9
26730,Warrnambool,142.511846,-38.371444,7892,21.8
26810,Wellington,146.922126,-37.886423,11428,24.6
26890,West Wimmera,141.279359,-36.675561,1128,28.8
26980,Whitehorse,145.15512,-37.830244,32395,17.7
27070,Whittlesea,145.077667,-37.547215,32453,12.8
27170,Wodonga,146.882587,-36.150485,8255,18.4
27260,Wyndham,144.61825,-37.88662,25753,7.6
27350,Yarra,144.998558,-37.802232,11364,11.3
27450,Yarra Ranges,145.697053,-37.714261,29484,18.4
27630,Yarriambiack,142.419015,-35.990052,1932,30.4
29399,Unincorporated Vic,145.364851,-38.349943,116,12.0
30250,Aurukun,141.827911,-13.614597,71,6.1
30300,Balonne,148.11616,-28.315896,753,17.3
30370,Banana,149.938721,-24.935144,2510,16.7
30410,Barcaldine,145.69342,-23.113668,588,20.2
30450,Barcoo,142.267474,-25.131052,41,12.9
30760,Blackall Tambo,145.791268,-24.785618,515,26.2
30900,Boulia,139.246444,-22.480434,81,16.9
31000,Brisbane,152.921601,-27.439499,179387,13.2
31750,Bulloo,142.594853,-28.021278,59,17.0
