lga_code,lga_name,state,total_population,pop_65_74,pop_75_84,pop_85_plus,pop_65_plus,percent_65_plus,median_age,year
32310,Charters Towers,Queensland,12040,1489,901,286,2676,22.2,42.9,2024
32330,Cherbourg,Queensland,1281,54,30,25,109,8.5,23.3,2024
32450,Cloncurry,Queensland,3882,273,131,36,440,11.3,34.4,2024
32500,Cook,Queensland,4824,576,296,33,905,18.8,42.9,2024
32600,Croydon,Queensland,270,29,4,4,37,13.7,41.3,2024
32750,Diamantina,Queensland,271,20,22,0,42,15.5,42.6,2024
32770,Doomadgee,Queensland,1473,57,22,5,84,5.7,26.4,2024
32810,Douglas,Queensland,13071,1738,853,202,2793,21.4,46.0,2024
33100,Etheridge,Queensland,727,100,64,19,183,25.2,45.1,2024
33200,Flinders (Qld),Queensland,1552,173,107,34,314,20.2,38.7,2024
33220,Fraser Coast,Queensland,120685,20476,13161,3649,37286,30.9,51.9,2024
33360,Gladstone,Queensland,68065,6543,3085,731,10359,15.2,39.3,2024
33430,Gold Coast,Queensland,681389,63648,42490,14293,120431,17.7,39.1,2024
33610,Goondiwindi,Queensland,10495,1173,688,286,2147,20.5,39.9,2024
33620,Gympie,Queensland,57449,8565,5031,1390,14986,26.1,48.2,2024
33800,Hinchinbrook,Queensland,11162,1717,1114,486,3317,29.7,52.4,2024
33830,Hope Vale,Queensland,1053,48,29,8,85,8.1,29.0,2024
33960,Ipswich,Queensland,259886,17237,9582,3043,29862,11.5,33.7,2024
33980,Isaac,Queensland,23197,1195,489,99,1783,7.7,34.5,2024
34420,Kowanyama,Queensland,1151,49,25,5,79,6.9,30.3,2024
34530,Livingstone,Queensland,42849,5355,2960,854,9169,21.4,43.8,2024
34570,Lockhart River,Queensland,688,41,18,6,65,9.4,28.1,2024
34580,Lockyer Valley,Queensland,45054,4485,2671,695,7851,17.4,39.2,2024
34590,Logan,Queensland,392339,29298,17174,4668,51140,13.0,34.2,2024
34710,Longreach,Queensland,3758,406,183,79,668,17.8,39.8,2024
34770,Mackay,Queensland,128361,12153,6500,2119,20772,16.2,39.0,2024
34800,McKinlay,Queensland,852,76,34,6,116,13.6,36.9,2024
34830,Mapoon,Queensland,485,43,12,2,57,11.8,28.4,2024
34860,Maranoa,Queensland,13371,1271,741,255,2267,17.0,38.0,2024
34880,Mareeba,Queensland,24003,2828,1796,535,5159,21.5,44.0,2024
35010,Moreton Bay,Queensland,522494,50950,33211,9691,93852,18.0,39.2,2024
35250,Mornington,Queensland,1087,53,30,5,88,8.1,29.9,2024
35300,Mount Isa,Queensland,18788,949,509,140,1598,8.5,31.7,2024
35600,Murweh,Queensland,3992,523,210,111,844,21.1,43.3,2024
35670,Napranum,Queensland,943,53,17,8,78,8.3,27.7,2024
35740,Noosa,Queensland,59274,8805,6145,1948,16898,28.5,51.0,2024
35760,North Burnett,Queensland,10482,1550,1005,343,2898,27.6,49.7,2024
35780,Northern Peninsula Area,Queensland,2928,129,46,6,181,6.2,24.9,2024
35790,Palm Island,Queensland,2287,122,36,2,160,7.0,26.7,2024
35800,Paroo,Queensland,1729,219,115,25,359,20.8,42.0,2024
36070,Pormpuraaw,Queensland,647,36,19,5,60,9.3,36.4,2024
36150,Quilpie,Queensland,709,78,32,15,125,17.6,40.3,2024
36250,Redland,Queensland,170225,20123,12812,4084,37019,21.7,43.5,2024
36300,Richmond,Queensland,788,78,40,3,121,15.4,36.6,2024
36370,Rockhampton,Queensland,85334,7971,4825,1794,14590,17.1,37.6,2024
36510,Scenic Rim,Queensland,46036,6076,3669,1152,10897,23.7,46.7,2024
36580,Somerset,Queensland,26579,3569,2003,396,5968,22.5,45.2,2024
36630,South Burnett,Queensland,34745,5289,3381,842,9512,27.4,48.6,2024
36660,Southern Downs,Queensland,37820,5696,3596,1079,10371,27.4,48.6,2024
36720,Sunshine Coast,Queensland,375328,43098,28797,9787,81682,21.8,42.9,2024
36820,Tablelands,Queensland,27630,4303,2528,748,7579,27.4,49.3,2024
36910,Toowoomba,Queensland,184377,19207,12980,4803,36990,20.1,39.1,2024
36950,Torres,Queensland,3495,235,71,26,332,9.5,31.0,2024
36960,Torres Strait Island,Queensland,4289,259,101,17,377,8.8,30.8,2024
37010,Townsville,Queensland,204541,17650,9871,2998,30519,14.9,36.1,2024
37300,Weipa,Queensland,4281,121,46,4,171,4.0,31.3,2024
37310,Western Downs,Queensland,35285,3570,2100,700,6370,18.1,38.7,2024
37340,Whitsunday,Queensland,40744,4336,2116,539,6991,17.2,40.0,2024
37400,Winton,Queensland,1141,152,93,15,260,22.8,45.6,2024
37550,Woorabinda,Queensland,1098,40,17,8,65,5.9,23.9,2024
37570,Wujal Wujal,Queensland,301,11,11,6,28,9.3,30.4,2024
37600,Yarrabah,Queensland,2659,104,66,16,186,7.0,26.4,2024
40070,Adelaide,South Australia,29118,2181,1622,555,4358,15.0,31.5,2024
40120,Adelaide Hills,South Australia,42368,5125,2921,849,8895,21.0,44.7,2024
40150,Adelaide Plains,South Australia,11302,979,507,143,1629,14.4,38.4,2024
40220,Alexandrina,South Australia,30887,5542,3809,1107,10458,33.9,53.9,2024
40250,Anangu Pitjantjatjara Yankunytjatjara,South Australia,2654,99,15,9,123,4.6,29.8,2024
40310,Barossa,South Australia,26590,3443,2154,724,6321,23.8,45.6,2024
40430,Barunga West,South Australia,2672,493,322,111,926,34.7,56.3,2024
40520,Berri Barmera,South Australia,10747,1550,832,328,2710,25.2,46.0,2024
40700,Burnside,South Australia,47810,5255,4175,1742,11172,23.4,43.8,2024
40910,Campbelltown (SA),South Australia,57988,5166,4221,2112,11499,19.8,40.4,2024
41010,Ceduna,South Australia,3744,456,235,54,745,19.9,40.0,2024
41060,Charles Sturt,South Australia,129196,12943,8649,3922,25514,19.7,40.3,2024
41140,Clare and Gilbert Valleys,South Australia,9417,1385,866,257,2508,26.6,49.1,2024
41190,Cleve,South Australia,1757,253,143,50,446,25.4,46.2,2024
41330,Coober Pedy,South Australia,1526,237,196,35,468,30.7,51.4,2024
41560,Copper Coast,South Australia,16299,3019,1892,630,5541,34.0,55.0,2024
41750,Elliston,South Australia,1053,140,63,21,224,21.3,42.8,2024
41830,Flinders Ranges,South Australia,1671,297,190,50,537,32.1,54.5,2024
41960,Franklin Harbour,South Australia,1359,229,160,34,423,31.1,52.6,2024
42030,Gawler,South Australia,27182,2922,1961,921,5804,21.4,41.2,2024
42110,Goyder,South Australia,4135,735,394,107,1236,29.9,52.5,2024
42250,Grant,South Australia,9140,1160,591,169,1920,21.0,45.6,2024
42600,Holdfast Bay,South Australia,39308,5480,3759,1579,10818,27.5,47.5,2024
42750,Kangaroo Island,South Australia,5167,847,516,135,1498,29.0,51.0,2024
43080,Karoonda East Murray,South Australia,1026,159,101,51,311,30.3,51.4,2024
43220,Kimba,South Australia,1064,115,80,51,246,23.1,42.3,2024
43360,Kingston (SA),South Australia,2406,395,286,88,769,32.0,53.9,2024
43650,Light,South Australia,17028,1771,881,248,2900,17.0,40.4,2024
43710,Lower Eyre Peninsula,South Australia,6237,816,406,108,1330,21.3,45.1,2024
43790,Loxton Waikerie,South Australia,11949,1766,1109,367,3242,27.1,47.9,2024
44000,Maralinga Tjarutja,South Australia,102,12,6,0,18,17.6,48.8,2024
44060,Marion,South Australia,99821,10082,6107,2638,18827,18.9,39.1,2024
44210,Mid Murray,South Australia,9593,1855,964,273,3092,32.2,55.1,2024
44340,Mitcham,South Australia,70484,7193,5195,2238,14626,20.8,41.9,2024
44550,Mount Barker,South Australia,43619,4341,2646,812,7799,17.9,39.4,2024
44620,Mount Gambier,South Australia,27888,3171,2035,867,6073,21.8,41.5,2024
44830,Mount Remarkable,South Australia,2873,569,287,96,952,33.1,56.6,2024
45040,Murray Bridge,South Australia,23257,2780,1893,653,5326,22.9,42.7,2024
45090,Naracoorte Lucindale,South Australia,8901,977,632,257,1866,21.0,41.6,2024
45120,Northern Areas,South Australia,4667,708,450,124,1282,27.5,49.9,2024
45290,Norwood Payneham and St Peters,South Australia,40062,3905,2844,1466,8215,20.5,39.9,2024
45340,Onkaparinga,South Australia,182821,20305,12860,4151,37316,20.4,41.2,2024
45400,Orroroo Carrieton,South Australia,890,161,82,39,282,31.7,52.3,2024
45540,Peterborough,South Australia,1682,332,194,52,578,34.4,56.3,2024
45680,Playford,South Australia,111135,7884,4292,1622,13798,12.4,33.3,2024
45890,Port Adelaide Enfield,South Australia,141042,12274,7119,2952,22345,15.8,37.6,2024
46090,Port Augusta,South Australia,14453,1424,873,288,2585,17.9,38.8,2024
46300,Port Lincoln,South Australia,15037,1775,1108,401,3284,21.8,41.5,2024
46450,Port Pirie,South Australia,17637,2168,1508,520,4196,23.8,44.3,2024
46510,Prospect,South Australia,23309,2166,1036,496,3698,15.9,37.6,2024
46670,Renmark Paringa,South Australia,10173,1284,817,295,2396,23.6,43.3,2024
46860,Robe,South Australia,1611,298,178,40,516,32.0,54.2,2024
46970,Roxby Downs,South Australia,4089,71,11,1,83,2.0,32.4,2024
47140,Salisbury,South Australia,150272,12900,8046,2905,23851,15.9,37.1,2024
47290,Southern Mallee,South Australia,2012,234,186,75,495,24.6,44.2,2024
47490,Streaky Bay,South Australia,2278,397,157,54,608,26.7,47.5,2024
47630,Tatiara,South Australia,7071,785,465,187,1437,20.3,41.6,2024
47700,Tea Tree Gully,South Australia,104437,11028,7830,2775,21633,20.7,41.3,2024
47800,Coorong,South Australia,5614,787,575,171,1533,27.3,48.6,2024
47910,Tumby Bay,South Australia,2948,478,323,130,931,31.6,51.5,2024
47980,Unley,South Australia,40327,4459,3025,1433,8917,22.1,42.2,2024
48050,Victor Harbor,South Australia,17124,3424,2917,977,7318,42.7,60.7,2024
